frame_file,frame_idx,class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
frame_00000.jpg,0,person,0.8602513074874878,5.005188,48.945923,701.5284,1278.0905
frame_00000.jpg,0,umbrella,0.33502820134162903,4.845703,0.0,720.0,727.09515
frame_00001.jpg,1,person,0.8602499961853027,5.005249,48.944702,701.52844,1278.0905
frame_00001.jpg,1,umbrella,0.33508506417274475,4.836487,0.0,720.0,726.8846
frame_00002.jpg,2,person,0.8662979006767273,4.930786,51.453857,676.9898,1279.0942
frame_00002.jpg,2,umbrella,0.2717716693878174,4.6688843,0.0,720.0,711.70593
frame_00003.jpg,3,person,0.8705777525901794,4.581787,46.665405,677.8489,1279.0195
frame_00003.jpg,3,umbrella,0.2722041606903076,4.4699707,0.0,720.0,716.3157
frame_00004.jpg,4,person,0.8616811037063599,3.355713,46.276733,679.42725,1279.2885
frame_00004.jpg,4,umbrella,0.27797284722328186,2.5386963,0.09320068,720.0,867.06903
frame_00005.jpg,5,person,0.8608198761940002,2.6274414,46.457886,681.06824,1279.2284
frame_00006.jpg,6,person,0.8598159551620483,2.8711548,48.089478,682.31744,1279.1512
frame_00007.jpg,7,person,0.8579370379447937,3.2598267,48.14734,683.3465,1278.9829
frame_00008.jpg,8,person,0.8584336042404175,4.9141846,49.51062,682.5664,1278.812
frame_00009.jpg,9,person,0.8581032752990723,5.139282,45.940674,701.9093,1277.3267
frame_00010.jpg,10,person,0.8507044911384583,4.4639893,45.773926,702.4978,1277.515
frame_00011.jpg,11,person,0.8518763780593872,6.4853516,41.595093,700.81213,1277.4456
frame_00011.jpg,11,umbrella,0.2541157901287079,4.8323975,0.04321289,720.0,652.7737
frame_00012.jpg,12,person,0.860257089138031,4.5891113,50.76758,684.7257,1278.6565
frame_00012.jpg,12,umbrella,0.33701223134994507,3.2544556,0.18048096,720.0,649.9522
frame_00013.jpg,13,person,0.8668609261512756,3.6811523,49.75952,685.79016,1278.5398
frame_00013.jpg,13,umbrella,0.327413946390152,2.234253,0.37384033,720.0,622.1061
